row_id,sentiment_text,ground_truth,final_text_style_b,swn_sentiment
105,If the war isn't over by tonight or tomorrow then this will be the latest piece of concrete evidence (Amongst thousands)That trump is FULL OF SHIT#maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,negative,if the war isnt over by tonight or tomorrow then this will be the late piece of concrete evidence amongst thousandsthat trump be full of shit,Neutral
106,"According to trump, #newsnation &amp; #FOXnews the U.S. is winningAccording to other U.S. mainstream #news the jury is still outAccording to some independent sources &amp; European &amp; middle eastern news it's far from over&amp; if true we'll be looking at tens if not hundreds of Billions of dollars#maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar",neutral,accord to trump amp the u be winningaccording to other u mainstream the jury be still outaccording to some independent source amp european amp middle eastern news it far from overamp if true well be look at ten if not hundred of billion of dollar,Neutral
107,Saudi Counting on Embattled Pakistan to Help Stop Iranian Attackshttps://defensemirror.com/news/41267/Saudi_Counting_on_Embattled_Pakistan_to_Help_Stop_Iranian_Attacks#google_vignette#saudiiran #ARAMCO #IranWar #IranIsraelWar,neutral,saudi count on embattled pakistan to help stop iranian attackshttpsdefensemirrorcomnewssaudi_counting_on_embattled_pakistan_to_help_stop_iranian_attacks,Neutral
108,"NOW PLAYING == The Coffee Klatch with Robert Reich 3/7/26 - In With #Iran, Out With #KristiNoem ft. W. Kamau Bell  https://www.youtube.com/watch?v=pWzKLEiITN8 #news #uspol #geopolitics #iranwar #trump #commentary #progressive #left #RobertReich #Democrats #vsn #radio  #DiverseSpectrumOfTheLeft #SupportIndependentMedia #Resist",neutral,now play the coffee klatch with robert reich in with out with ft w kamau bell httpswwwyoutubecomwatchvpwzkleiitn,Neutral
109,"U.S. Special Forces, Kurdish Militants Preparing Ground Incursion into Iran: ReportsAt least nine MC-130J Commando II aircraft from the US Special Operations Command have arrived in the U.K.  https://defensemirror.com/news/41270/U_S__Special_Forces__Kurdish_Militants_Preparing_Incursion_into_Iran__Reports#CENTCOM #IranMassacre #IranIsraelWar #IranWar",neutral,u special force kurdish militant prepare ground incursion into iran reportsat least nine mcj commando ii aircraft from the u special operation command have arrive in the uk httpsdefensemirrorcomnewsu_s__special_forces__kurdish_militants_preparing_incursion_into_iran__reports,Neutral
110,#MAPA.  ➡️. #MAGAMake America pedo again #maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,neutral,america pedo again,Neutral
111,"Ten years ago, what I used to call my ""tinfoil hat theory"" -- because even to me it sounded a bit much -- was that a post-national 1% was consolidating its resources and preparing to abandon the general populace to things like economic collapse and climate disaster. And war, possibly. Yesterday this was #TimothySnyder  's analysis on the #iranwar :  https://open.substack.com/pub/snyder/p/the-oligarchical-corridor?utm_source=share&amp;utm_medium=android&amp;r=1cll5 #oligarchy",neutral,ten year ago what i use to call my tinfoil hat theory because even to me it sound a bit much be that a postnational be consolidate it resource and prepare to abandon the general populace to thing like economic collapse and climate disaster and war possibly yesterday this be s analysis on the httpsopensubstackcompubsnyderptheoligarchicalcorridorutm_sourceshareamputm_mediumandroidamprcll,Neutral
112,"Interview: &quot; We already are in a scenario where the US has lost control of this war&quot;&quot;Iran is the weaker party, but it has the capability to create a much longer mayhem than envisioned by the US &amp; Israel.&quot;~Political scientist Vali Nasrhttps://www.aljazeera.com/video/the-bottom-line/2026/3/4/iran-war-redrawing-the-map-of-the-middle-east-israeli-style #USPol #EUPol #IranWar #USImperialism #news #USIsraeliCrimes .",neutral,interview we already be in a scenario where the u have lose control of this wariran be the weak party but it have the capability to create a much longer mayhem than envision by the u amp israelpolitical scientist vali nasrhttpswwwaljazeeracomvideothebottomlineiranwarredrawingthemapofthemiddleeastisraelistyle,Neutral
113,"Analysis: &quot;The Iranian Revolutionary Guard is reverting to its guerrilla roots &amp; is operating with something like a cell structure.&quot;&quot;Iran is fighting a techno-guerrilla war, [while] the US &amp; Israel fight a conventional one&quot;&quot;Quite apart from its failure, the [war] tactic of killing civilian leaders is a war crime &amp; is unprecedented in modern warfare&quot;. Not even Putin re Zelenskyy.https://www.juancole.com/2026/03/fighting-guerrilla-conventional.html #USPol #EUPol #IranWar #news .",neutral,analysis the iranian revolutionary guard be revert to it guerrilla root amp be operate with something like a cell structureiran be fight a technoguerrilla war while the u amp israel fight a conventional onequite apart from it failure the war tactic of kill civilian leader be a war crime amp be unprecedented in modern warfare not even putin re zelenskyyhttpswwwjuancolecomfightingguerrillaconventionalhtml,Neutral
114,"Report: US investigators say the US military probably carried out the double-tap strike that killed 165, mostly young girls, at an Iranian elementary school.A &quot;double-tap strike&quot; kills one group, then waits for medics &amp; other civilians to arrive in order to kill them as well.https://www.middleeasteye.net/news/us-investigators-say-american-strike-most-likely-responsible-iranian-school-massacre #USWarCrimes #USPol #EUPol #IranWar #IranSchoolAttack #news .",negative,report u investigator say the u military probably carry out the doubletap strike that kill mostly young girl at an iranian elementary schoola doubletap strike kill one group then wait for medic amp other civilian to arrive in order to kill them a wellhttpswwwmiddleeasteyenetnewsusinvestigatorssayamericanstrikemostlikelyresponsibleiranianschoolmassacre,Neutral
115,"The White House went full Paul Verhoeven for this notorious Hollywood hearts Wars of Aggression video. But it got clicks, so its X account has been one tasteless video-edit after another ever since! https://xcancel.com/WhiteHouse/status/2029741548791853331#m#USPol #MAGA #GOP #Trump #IranWar #USA",negative,the white house go full paul verhoeven for this notorious hollywood heart war of aggression video but it get click so it x account have be one tasteless videoedit after another ever since httpsxcancelcomwhitehousestatus,Negative
116,Can anybody confirm this new is true?#Dimonanuclearsite#iranwar #IsraelUS,neutral,can anybody confirm this new be true,Positive
117,The war’s toll so far on Iran’s military and leadershipCAIRO (AP) — The U.S. and Israel are striking a much wider array of targets in Iran than…#NewsBeep #News #BreakingNews #AliKhamenei #APTopNews #Bombings #breakingnews #Generalnews #Iran #Irangovernment #iranwar #Israel #Israelgovernment #Manufacturingsector #MIDEASTWARS #Militaryanddefense #Protestsanddemonstrations #Tehran #Warandunrest #Worldnewshttps://www.newsbeep.com/422793/,negative,the war toll so far on iran military and leadershipcairo ap the u and israel be strike a much wide array of target in iran than wwwnewsbeepcom,Neutral
118,"Dear magats, happy to see felon Don's TrumpEpstein War is skyrocketing your beloved car gas prices?! 🚙 ⛽  https://www.reuters.com/business/energy/us-pump-prices-surge-iran-war-upends-global-energy-supply-2026-03-07/ 📉📈 #soMuchWinning 🤣 #TrumpEpsteinWar #IranWar #gasoline #diesel #pumpprices #gasprice #trump #netanyahu #maga #gop #republicans #TrumpEpsteinFiles #Iran #netanjahu #Epsteinfiles #magats #Benzinpreis",neutral,dear magats happy to see felon don trumpepstein war be skyrocket your beloved car gas price httpswwwreuterscombusinessenergyuspumppricessurgeiranwarupendsglobalenergysupply,Positive
119,"RE: https://journa.host/@ScottLucas/116188138466644158Panel discussion alongside Gen. Sudhakar Jee and Prof. Swaran SinghHighlighting #Trump Admin rejection of mediation by #Qatar, seeking a return to US- #Iran talks, but questioning if it has a ""Plan B"" for ""regime capitulation""#IranWar #Israel",neutral,httpsjournahostpanel discussion alongside gen sudhakar jee and prof swaran singhhighlighting admin rejection of mediation by seek a return to u talk but question if it have a plan b for regime capitulation,Neutral
120,EA on International Media: US and #Israel Expand Their Wars in #Iran and #Lebanon — But How They Will End Them?#IranWar #Trump #SaudiArabia #UAE #Bahrain #Kuwait #Oman #Lebanon https://eaworldview.com/2026/03/us-and-israel-wars-iran-and-lebanon-but-how-they-will-end-them/,neutral,ea on international medium u and expand their war in and but how they will end them httpseaworldviewcomusandisraelwarsiranandlebanonbuthowtheywillendthem,Negative
121,"RE: https://journa.host/@ScottLucas/11618808654461801650-min analysis* #Trump threatens next war in #Cuba during current #IranWar*White House social media's insults, trolling, and lies* #Formula1 's challenge w spring races in Gulf* UK Govt bashes #AsylumSeekers again* #BBC 's funding issues in era of streaming and VPNs",negative,httpsjournahostmin analysis threaten next war in during current white house social medias insult troll and lie s challenge w spring race in gulf uk govt bash again s funding issue in era of stream and vpns,Neutral
122,EA on Times Radio: Week in Review --- #Trump Threats from #Cuba to #Iran to US; F1's Gulf Dilemma; UK's Latest Anti-Asylum Blast; Future of #BBC (Scott Lucas with Olly Mann)#Formula1 #Israel #IranWar #AsylumSeekershttps://eaworldview.com/2026/03/trump-threats-from-cuba-to-iran-to-the-us-f1s-gulf-dilemma-uks-latest-anti-asylum-blast-future-of-the-bbc/,neutral,ea on time radio week in review threat from to to u fs gulf dilemma uks late antiasylum blast future of scott lucas with olly mann eaworldviewcomtrumpthreatsfromcubatoirantotheusfsgulfdilemmaukslatestantiasylumblastfutureofthebbc,Neutral
123,Brighty @Brighti on #Trump #MarcoRubio #KeirStarmer #IranWar @TheSun – political cartoon gallery in London original-political-cartoon.com,neutral,brighty on political cartoon gallery in london originalpoliticalcartooncom,Neutral
124,Donald Trump’s decision not to refill the Strategic Petroleum Reserve drained by his predecessor Joe Biden has left consumers exposed to an oil price shock following US and Israeli attacks on Iran. 😆https://www.ft.com/content/d546fd5b-4a0c-4b90-8bee-9e85b75458ed#usa #iran #iranwar #news,negative,donald trump decision not to refill the strategic petroleum reserve drain by his predecessor joe biden have leave consumer expose to an oil price shock follow u and israeli attack on iran httpswwwftcomcontentdfdbacbbeeebed,Neutral
126,"You, @habitsofwaste.bsky.social, wrote: &quot;The president himself said we are at war.&quot;Yes, but in Donald Trump&#39;s defense, he is known to lie very often. Not this time, but very often. #IranWar",negative,you bskysocial write the president himself say we be at waryes but in donald trump defense he be know to lie very often not this time but very often,Neutral
127,What was that you said????...Oh...You must listen to #newsnation#maga #mawa #ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,neutral,what be that you saidohyou must listen to,Neutral
128,"Nicholas Kristof wrote about the #IranWar: &quot;Pres. Trump and Prime Minister Benjamin Netanyahu of Israel, the architects of this war, both seem afflicted by the arrogance of power&quot;: https://www.nytimes.com/2026/03/07/opinion/iran-war-trump.html &quot;A president’s first task is to make us safer. Instead, it seems to me that Trump has catapulted us into an unnecessary conflict, consuming American and Iranian lives alike, costing billions of dollars and damaging the economy — all while propelling us into peril.&quot; #politics #UnnecessaryWar",negative,nicholas kristof write about the pres trump and prime minister benjamin netanyahu of israel the architect of this war both seem afflict by the arrogance of power httpswwwnytimescomopinioniranwartrumphtml a president first task be to make u safe instead it seem to me that trump have catapult u into an unnecessary conflict consume american and iranian life alike cost billion of dollar and damage the economy all while propel u into peril,Neutral
129,Data Centres Become Targets as Digital Infrastructure Enters Middle East Conflict#AWS #DataCentres #MiddleEast #IranWar #AusNewshttps://thedailyperspective.org/article/2026-03-07-data-centres-become-targets-as-digital-infrastructure-enters-middle-east-conflic-e4704193,neutral,data centre become target a digital infrastructure enters middle east conflict thedailyperspectiveorgarticledatacentresbecometargetsasdigitalinfrastructureentersmiddleeastconflice,Neutral
130,"🇺🇦 Ukrainian manufacturers of cheap interceptor drones designed to knock out enemy unmanned aerial vehicles say they have the capacity to export in large volumes, amid enquiries from the United ​States and Middle East prompted by the #Iran war.https://www.reuters.com/business/aerospace-defense/ukraines-interceptor-drone-makers-look-exports-gulf-iran-war-flares-2026-03-07/#ukraine #iranWar",neutral,ukrainian manufacturer of cheap interceptor drone design to knock out enemy unmanned aerial vehicle say they have the capacity to export in large volume amid enquiry from the united state and middle east prompt by the warhttpswwwreuterscombusinessaerospacedefenseukrainesinterceptordronemakerslookexportsgulfiranwarflares,Neutral
131,Israel fires &#39;broad-scale&#39; strikes on Tehran as war hits second weekIsrael announced a new wave of &quot;broad-scale&quot; strikes on Tehran on Saturday as the escalating war in the Middle East entered its second week and oil prices surged on fears about global supply disruption.https://www.rfi.fr/en/international/20260307-israel-fires-broad-scale-strikes-on-tehran-as-war-hits-2nd-week#IsraelNews #News #Tehran #IranNews #IranWar #Israel #Iran,negative,israel fire broadscale strike on tehran a war hit second weekisrael announce a new wave of broadscale strike on tehran on saturday a the escalate war in the middle east enter it second week and oil price surge on fear about global supply disruptionhttpswwwrfifreninternationalisraelfiresbroadscalestrikesontehranaswarhitsndweek,Neutral
132,"Interview: &quot;Iran’s military prowess &amp; America’s &amp; Israel’s impulsive imperial hubris, are on display.&quot;Detailed analysis of:* Why the US went to war;* Iran&#39;s miltary strategy;* US &amp; Israeli goals &amp; flawed assumptions* effect of the war on global resource flow&quot;A huge amount of global oil &amp; gas passes through the Strait of Hormuz, particularly for Europe. It&#39;s already starting to affect the oil price.&quot;~Alastair Crookehttps://www.youtube.com/watch?v=YL8rXeNkXsQ #USPol #eupol #IranWar #USImperialism .",neutral,interview iran military prowess amp america amp israel impulsive imperial hubris be on displaydetailed analysis of why the u go to war iran miltary strategy u amp israeli goal amp flaw assumption effect of the war on global resource flowa huge amount of global oil amp gas pass through the strait of hormuz particularly for europe it already start to affect the oil pricealastair crookehttpswwwyoutubecomwatchvylrxenkxsq,Neutral
133,"I do hope Kevin is being sarcastic. Otherwise, he’s simply another MAGA dipshit. #IranWar",negative,i do hope kevin be be sarcastic otherwise hes simply another maga dipshit,Neutral
134,"RE: https://journa.host/@ScottLucas/116186718091385958#Israel Defense Forces repeat warning to all civilians in southern #Lebanon to evacuateIDF, which has also demanded the evacuation of southern suburbs of #Beirut, estimates that 420,000+ Lebanese civilians have fled their homes#IranWar",neutral,httpsjournahost defense force repeat warn to all civilian in southern to evacuateidf which have also demand the evacuation of southern suburb of estimate that lebanese civilian have flee their home,Neutral
135,This is going to be awkward. I#USpol #IranWar “Can't wait for the latest update on the new ballroom. Hope we hear about the drape selection.” - Jim Wright,neutral,this be go to be awkward i cant wait for the late update on the new ballroom hope we hear about the drape selection jim wright,Neutral
136,The Latest: Israel hammers Beirut and Tehran as Iran fires missiles at Israel and the GulfIran’s president rejected a demand by the United States for an unconditional surrender on Saturday and apologized for…#NewsBeep #News #BreakingNews #130850695 #Article #breakingnews #Generalnews #iranwar #Israel #Warandunrest #Worldnewshttps://www.newsbeep.com/422728/,negative,the late israel hammer beirut and tehran a iran fire missile at israel and the gulfirans president reject a demand by the united state for an unconditional surrender on saturday and apologize for wwwnewsbeepcom,Negative
137,"RE: https://journa.host/@ScottLucas/116186718091385958#Israel Defense Forces: Our special forces carried out raid in southern #Lebanon to locate remains of Lt. Col. Ron Arad, whose plane went down during bombing mission in 1986Witnesses say 26 Lebanese killed when Israelis l anded 4 helicopters in town of Nabi Chit in eastern Bekaa valley#IranWar",neutral,httpsjournahost defense force our special force carry out raid in southern to locate remains of lt col ron arad whose plane go down during bomb mission in witness say lebanese kill when israelis l anded helicopter in town of nabi chit in eastern bekaa valley,Neutral
138,"A US-sanctioned tanker blacklisted for handling Iranian liquefied petroleum gas crossed the Strait of Hormuz on Friday, one of only a handful of vessels to make it through the waterway in recent days.https://finance.yahoo.com/news/us-sanctioned-gas-tanker-sails-102954007.html#iran #iranwar #news #hormuz",neutral,a ussanctioned tanker blacklist for handle iranian liquefy petroleum gas cross the strait of hormuz on friday one of only a handful of vessel to make it through the waterway in recent dayshttpsfinanceyahoocomnewsussanctionedgastankersailshtml,Neutral
139,"RE: https://journa.host/@ScottLucas/116186718091385958Energy Minister of #Qatar, which is seeking an end to #IranWar: Conflict could “bring down economies of world” with Gulf energy exporters shutting down production and the price of oil rising to $150 a barrelEven if war ends, will take Qatar “weeks to months” to return to normal cycle of deliveries",neutral,httpsjournahostenergy minister of which be seek an end to conflict could bring down economy of world with gulf energy exporter shut down production and the price of oil rise to a barreleven if war end will take qatar week to month to return to normal cycle of delivery,Neutral
140,"The Iran conflict could pose additional challenges for some emerging-market sovereigns through channels such as energy imports, remittances, fiscal subsidies, exchange rates, and access to international finance...https://dmarketforces.com/iran-conflict-raises-new-credit-risks-for-emerging-market-sovereigns/#IranWar #EmergingMarket",neutral,the iran conflict could pose additional challenge for some emergingmarket sovereigns through channel such a energy import remittance fiscal subsidy exchange rate and access to international financehttpsdmarketforcescomiranconflictraisesnewcreditrisksforemergingmarketsovereigns,Neutral
141,The Illusion of Maritime Transparency  https://peer.adalta.social/w/kmZCpNjCD14MuavyshpqR3,neutral,the illusion of maritime transparency httpspeeradaltasocialwkmzcpnjcdmuavyshpqr,Neutral
142,US automakers can still change their minds about EVs...https://cleantechnica.com/2026/03/06/us-battery-makers-gave-up-waaaaay-too-soon-on-ev-sales-but-they-have-a-backup-plan/#evs #electricvehicles #iranwar #iran #war #gasoline #fuel #energy #gasprice #priceofgas #painatthepump #ford #gm #federalreserve #banks #banking #us #energypolicy #evsales #usedevs #sustainable #sustainability,neutral,u automaker can still change their mind about evshttpscleantechnicacomusbatterymakersgaveupwaaaaaytoosoononevsalesbuttheyhaveabackupplan,Neutral
143,US automakers can still change their minds about EVs...https://cleantechnica.com/2026/03/06/us-battery-makers-gave-up-waaaaay-too-soon-on-ev-sales-but-they-have-a-backup-plan/#evs #electricvehicles #iranwar #iran #war #gasoline #fuel #energy #gasprice #priceofgas #painatthepump #ford #gm #federalreserve #banks #banking #us #energypolicy #evsales #usedevs #sustainable #sustainability,neutral,u automaker can still change their mind about evshttpscleantechnicacomusbatterymakersgaveupwaaaaaytoosoononevsalesbuttheyhaveabackupplan,Neutral
144,The data never lies!(Narrator: the data lies)https://www.marinetraffic.com/en/ais/home/centerx:53.812/centery:24.694/zoom:16#ais #spoofing #jamming #IranWar,neutral,the data never liesnarrator the data lieshttpswwwmarinetrafficcomenaishomecenterxcenteryzoom,Neutral
145,"Hmm, I hope this flight path was a spoof, not the real thing. (UAE5V, if it was a real flight, at -250ft barometric altitude before signal loss at the edge of Iran airspace). I guess I'll go look up the overnight news. (Looks like missing data and this plane landed at DXB, after some crazy crazy descent pattern)https://globe.adsb.fi/?icao=8960f7,8964b1#UAE5V #aviation  #IranWar",neutral,hmm i hope this flight path be a spoof not the real thing uaev if it be a real flight at ft barometric altitude before signal loss at the edge of iran airspace i guess ill go look up the overnight news look like miss data and this plane land at dxb after some crazy crazy descent patternhttpsglobeadsbfiicaofb,Neutral
146,Must be Saturday. Such cheerful news.https://nymag.com/intelligencer/article/the-future-of-war-is-drones-bombing-data-centers.html#iranwar #ai #datacenter  #claude #aws,positive,must be saturday such cheerful newshttpsnymagcomintelligencerarticlethefutureofwarisdronesbombingdatacentershtml,Positive
147,"At 1110z Sat Mar 7, weird... I can't find ANY Iranian Bubble Jammers on #shortwave 😮  15750.3 17900 Iran International and 17840 Radio Farda are all unjammed!  9365 Farda is barely audible but I don't see any more carriers there either  No sig on 5860 in daytime  Game over? #Iran #IranWar #WARINIRAN",neutral,at z sit mar weird i cant find any iranian bubble jammer on iran international and radio farda be all unjammed farda be barely audible but i dont see any more carrier there either no sig on in daytime game over,Neutral
148,"Iran&#39;s president apologizes to neighbors, defies US demandsIran&#39;s president apologized for attacks on regional countries but kept up criticism of America. His comments come as Iranian missiles and drones continue to fly toward Israel and Gulf Arab states. DW has the latest.https://www.dw.com/en/iran-s-president-apologizes-to-neighbors-defies-us-demands/live-76256213?maca=en-rss-en-all-1573-rdf#Khomeini #IranWar #News #IranNews #Iran #USANews #USA",neutral,iran president apologize to neighbor defies u demandsirans president apologize for attack on regional country but keep up criticism of america his comment come a iranian missile and drone continue to fly toward israel and gulf arab state dw have the latesthttpswwwdwcomeniranspresidentapologizestoneighborsdefiesusdemandslivemacaenrssenallrdf,Neutral
149,"Interview: &quot;America’s War for Greater Israel&quot;Mouin Rabbani unpacks:* the explosive new documents exposing Israel’s systematic ethnic cleansing in 1948;* Trump&#39;s torpedoing of diplomacy at the very moment negotiations were gaining traction;* whether Tehran’s bombing of Gulf states is a strategic miscalculation;* how Israel&#39;s unending quest for security has fuelled decades of expansion, war &amp; regional upheaval.https://www.middleeastmonitor.com/20260303-americas-war-for-greater-israel-palestine-this-week-with-mouin-rabbani/ #USPol #EUPol #IranWar #USIMperialism .",negative,interview americas war for great israelmouin rabbani unpack the explosive new document expose israel systematic ethnic cleansing in trumps torpedoing of diplomacy at the very moment negotiation be gain traction whether tehran bomb of gulf state be a strategic miscalculation how israels unending quest for security have fuel decade of expansion war amp regional upheavalhttpswwwmiddleeastmonitorcomamericaswarforgreaterisraelpalestinethisweekwithmouinrabbani,Neutral
150,"RE: https://journa.host/@ScottLucas/11618749366824414230-min analysis#Ukraine gains in #Zaporizhzhia after #Russia loses #StarlinkPositive changes in #Zelensky Govt, e.g. #Fedorov and #Budanov, to deal w invasion and w corruptionEffect on #UkraineWar of US- #Israel war on #Iran#IranWar",neutral,httpsjournahostmin analysis gain in after loses change in govt eg and to deal w invasion and w corruptioneffect on of u war on,Neutral
151,"I'm Rania from Gaza 🇵🇸A mother of four children. My husband and daughter are injured, and we have no income.We are living in very hard conditions, and this link is our only hope.Please donate or share. Your kindness can help us survive. 🙏💔https://gofund.me/d0cc0587#Gaza #palestine #genocide #Israel #freepalestine #save_gaza_children #SupportGaza #Humanity #Muslim #Ramadan #StopTheGenocide #fediAid #iran #Gaza #Israel #IranWar #Iran",negative,im rania from gaza a mother of four child my husband and daughter be injure and we have no incomewe be live in very hard condition and this link be our only hopeplease donate or share your kindness can help u survive httpsgofundmedcc,Neutral
152,Donald Trump hammers Iran with ‘biggest’ bombing yet demanding ‘unconditional surrender’  https://fed.brid.gy/r/https://metro.co.uk/2026/03/07/donald-trump-hammers-iran-biggest-bombing-yet-demanding-unconditional-surrender-27277608/,negative,donald trump hammer iran with big bomb yet demand unconditional surrender httpsfedbridgyrhttpsmetrocoukdonaldtrumphammersiranbiggestbombingyetdemandingunconditionalsurrender,Negative
153,Iran vows no surrender as strikes hit Tehran airportFollow live updates as Iran&#39;s President Masoud Pezeshkian said his country will not surrender to Israel and the United States as the war enters its second week.https://www.rte.ie/news/2026/0307/1562112-middle-east-updates/#IranNews #Iran #News #Tehran #IranWar,negative,iran vow no surrender a strike hit tehran airportfollow live update a iran president masoud pezeshkian say his country will not surrender to israel and the united state a the war enter it second weekhttpswwwrteienewsmiddleeastupdates,Neutral
154,"We asked ChatGPT, Gemini and Claude: how likely is global war from the Iran conflict?Full breakdown 👇 https://theurb.co/iran-conflict-escalation#IranConflict #StraitOfHormuz #MiddleEastWar #Geopolitics #WorldNews #BreakingNews #News #War #USA #Israel #Iran #IranWar",neutral,we ask chatgpt gemini and claude how likely be global war from the iran conflictfull breakdown httpstheurbcoiranconflictescalation,Negative
155,RE: https://journa.host/@ScottLucas/116186718091385958Toll rises to 26+ killed in #Israel airstrikes on Nabi Chit in the Bekaa Valley in eastern #Lebanon#IranWar,negative,httpsjournahosttoll rise to kill in airstrikes on nabi chit in the bekaa valley in eastern,Neutral
156,Trump wants the Iranians to rise up and take back their country while bombing and killing them.Regime change or extermination?#Trump #iranwar https://www.theguardian.com/world/2026/mar/06/tehran-bombing-iran-night-of-terror?CMP=Share_AndroidApp_Other,negative,trump want the iranian to rise up and take back their country while bomb and kill themregime change or extermination httpswwwtheguardiancomworldmartehranbombingirannightofterrorcmpshare_androidapp_other,Neutral
157,"US to send anti-drone system to Mideast after successful use in Ukraine, officials sayAn American anti-drone system proven to work against Russian dron…#NewsBeep #News #Headlines #circulated-air-force-times #circulated-army-times #circulated-defense-news #circulated-marine-corps-times #circulated-military-times #circulated-navy-times #counter-drone #dn-dnr #Drones #hegseth #iranwar #Israel #MiddleEast #military-times #Pentagon #Trump #Ukraine #World #zelenskyyhttps://www.newsbeep.com/422568/",neutral,u to send antidrone system to mideast after successful use in ukraine official sayan american antidrone system prove to work against russian dron airforcetimes armytimes defensenews marinecorpstimes militarytimes navytimes drone dnr time wwwnewsbeepcom,Positive
158,"Iran war enters second week, Trump demands ‘unconditional surrender’War in Iran entered its second week amid renewed uncertainty about how or when hostilities will endhttps://www.sabcnews.com/sabcnews/iran-war-enters-second-week-as-trump-demands-unconditional-surrender/#IranNews #Trump #News #Iran #USA #IranWar #USANews",negative,iran war enters second week trump demand unconditional surrenderwar in iran enter it second week amid renew uncertainty about how or when hostility will endhttpswwwsabcnewscomsabcnewsiranwarenterssecondweekastrumpdemandsunconditionalsurrender,Negative
159,Color me diagnosed...#TDSTrump dérangement syndrome https://youtube.com/shorts/PxLNDa8AoZ8?si=6Vg-RADCWUlzKkSB#ICE #Epstein #Democracy #tariffs #Racist #incompetence #IRAN #iranwar,neutral,color me diagnose dérangement syndrome httpsyoutubecomshortspxlndaaozsivgradcwulzkksb,Neutral
160,"I love how posts on Iran on Chinese social media are either straight up facts or posts that remind us of the humanity on the ground. I have not seen any fear mongering or gloating like you see on English social media. There is, to my surprise, Israeli propaganda straight from the Israeli embassy in China. But the people in the comments are literally telling them to scram and bugger off.On the whole it's been easier to get the news and updates about the conflict on  Weibo. (It's feed is clean with a list of updates, and I don't have to wade through racist, bigoted, hate-filled awfulness to get any updates.) Xiaohongshu is not as political, and it's filled with beautiful videos about Chinese people who had visited Iran. All the posts and the comments have a common theme, ""We wish for a peaceful Iran and for no more wars"".Why is English social media so violent, racist and bigoted? I don't know.A part of me believes that it's due to strict moderation on Chinese social media. They are not nirvana, mind you, but people are not allowed to incite violence or hatred there.Also, by nature, I feel that Chinese people prefer harmony over conflict, so they are naturally averse to wars.*Ps I can believe the US bombed a playground. Do they hate children that much?Ps: Post was translated to English by Google Translate.* Just a theory don't @ me!#Iran #iranwar #China #SocialMedia",neutral,i love how post on iran on chinese social medium be either straight up fact or post that remind u of the humanity on the ground i have not see any fear mongering or gloat like you see on english social medium there be to my surprise israeli propaganda straight from the israeli embassy in china but the people in the comment be literally tell them to scram and bugger offon the whole it be easy to get the news and update about the conflict on weibo it feed be clean with a list of update and i dont have to wade through racist bigoted hatefilled awfulness to get any update xiaohongshu be not as political and it fill with beautiful video about chinese people who have visit iran all the post and the comment have a common theme we wish for a peaceful iran and for no more warswhy be english social medium so violent racist and bigoted i dont knowa part of me believe that it due to strict moderation on chinese social medium they be not nirvana mind you but people be not allow to incite violence or hatred therealso by nature i feel that chinese people prefer harmony over conflict so they be naturally averse to warsps i can believe the u bomb a playground do they hate child that muchps post be translate to english by google translate just a theory dont me,Neutral
161,"Trump has privately shown serious interest in U.S. ground troops in Iran&gt; The president’s private comments have not focused on a large-scale ground invasion of Iran, but rather on the idea of a small contingent of U.S. troops that would be used for specific strategic purposes, sources say. https://www.nbcnews.com/politics/white-house/trump-privately-shown-serious-interest-us-ground-troops-iran-rcna262176 #Iran #IranWar #DonaldTrump",neutral,trump have privately show serious interest in u ground troop in irangt the president private comment have not focus on a largescale ground invasion of iran but rather on the idea of a small contingent of u troop that would be use for specific strategic purpose source say httpswwwnbcnewscompoliticswhitehousetrumpprivatelyshownseriousinterestusgroundtroopsiranrcna,Neutral
162,The failure of the US in the Iran War has parallels to the failure of the US in the Vietnam War.https://www.theguardian.com/commentisfree/2025/may/01/us-vietnam-war-media#antiwar#iranwar#vietnamwar#freepalestine#freeiran#fuckus#fuckisrael,negative,the failure of the u in the iran war have parallel to the failure of the u in the vietnam warhttpswwwtheguardiancomcommentisfreemayusvietnamwarmedia,Negative
163,"Michal Kubal 🇨🇿 𝕏🔁 @MahmoudianArman:#Iran’s president #Pezeshkian just issued a video message. These were his main points:1.He rejected unconditional surrender to the United States.2.He apologized to neighboring countries targeted by Iranian attacks.3.He said some attacks were carried out independently by regional commanders after the removal of senior leadership.4.He stated that since yesterday (likely Friday), a temporary leadership council has ordered a halt to attacks on neighboring countries, unless their territory is used to attack Iran.5.He warned regional groups not to play into the hands of #Israel and the United States by attacking Iran, likely referring to Kurdish armed groups. #IranWar",neutral,michal kubal 𝕏 s president just issue a video message these be his main pointshe reject unconditional surrender to the united stateshe apologize to neighbor country target by iranian attackshe say some attack be carry out independently by regional commander after the removal of senior leadershiphe state that since yesterday likely friday a temporary leadership council have order a halt to attack on neighbor country unless their territory be use to attack iranhe warn regional group not to play into the hand of and the united state by attack iran likely refer to kurdish arm group,Neutral
